prov,ur,tamano,sex,age,soct2,prot3,protest
1523,1,2,Male,44,2,2,No
1526,2,5,Male,40,2,2,No
1529,2,5,Female,29,1,2,No
1526,2,5,Female,37,3,2,No
1529,1,4,Male,37,1,1,Yes
1529,1,4,Male,33,3,1,Yes
1529,2,5,Female,44,1,2,No
1525,1,4,Male,30,2,1,Yes
1525,1,2,Male,27,2,2,No
1524,1,2,Male,60,1,1,Yes
1526,2,5,Female,47,3,2,No
1526,2,5,Female,28,2,2,No
1525,2,5,Female,54,2,2,No
1529,1,2,Male,51,3,2,No
1525,1,4,Male,23,2,2,No
1524,1,2,Male,16,1,2,No
1521,1,3,Female,24,1,2,No
1525,1,2,Male,18,2,2,No
1525,1,2,Female,61,3,2,No
1521,2,5,Female,71,2,2,No
1526,2,5,Male,49,1,2,No
1524,1,3,Male,17,3,1,Yes
1521,2,5,Male,36,2,2,No
1524,1,2,Female,58,3,2,No
1528,1,4,Male,24,1,2,No
1524,1,3,Female,44,1,2,No
1528,1,3,Female,67,3,2,No
1521,1,3,Male,29,2,1,Yes
1524,1,3,Male,30,1,2,No
1529,1,2,Male,20,2,2,No
1525,2,5,Female,30,2,2,No
1526,1,2,Male,58,2,1,Yes
1525,2,5,Male,73,3,2,No
1524,1,2,Female,36,2,1,Yes
1524,1,2,Male,44,1,2,No
1525,1,4,Male,65,3,2,No
1526,2,5,Male,27,2,2,No
1523,1,3,Female,49,3,2,No
1529,2,5,Female,30,3,2,No
1523,1,2,Male,33,3,2,No
1524,1,3,Female,37,3,2,No
1529,2,5,Male,46,2,1,Yes
1526,1,3,Male,20,3,2,No
1529,2,5,Male,28,1,2,No
1521,1,2,Male,28,2,2,No
1529,1,2,Male,31,1,1,Yes
1528,1,3,Male,57,2,2,No
1526,2,5,Female,49,3,2,No
1524,1,3,Male,45,2,2,No
1529,1,2,Male,33,2,2,No
1526,1,2,Female,23,3,2,No
1529,1,2,Female,20,2,2,No
1525,1,2,Female,42,3,NA,NA
1529,1,2,Male,17,1,2,No
1525,1,2,Female,34,3,2,No
1528,1,4,Female,65,3,2,No
1527,1,4,Female,20,1,2,No
1525,1,4,Male,35,2,2,No
1528,1,4,Male,43,2,1,Yes
1521,2,5,Female,45,3,2,No
1523,2,5,Male,60,3,2,No
1525,1,4,Male,50,1,2,No
1521,2,5,Male,16,1,2,No
1523,2,5,Female,37,3,2,No
1528,1,3,Male,38,1,2,No
1529,1,2,Female,21,2,2,No
1529,1,2,Male,18,3,1,Yes
1526,2,5,Male,17,3,2,No
1521,1,3,Male,38,2,2,No
1529,2,5,Female,19,3,2,No
1525,1,4,Female,61,3,2,No
1526,1,2,Female,38,2,1,Yes
1523,1,4,Female,53,1,2,No
1525,1,2,Female,63,1,2,No
1525,2,5,Male,51,3,2,No
1523,1,3,Female,18,2,2,No
1526,1,2,Female,56,3,2,No
1525,1,4,Male,49,2,2,No
1528,1,3,Female,40,3,2,No
1528,1,4,Male,32,2,2,No
1523,1,3,Female,34,3,2,No
1528,1,4,Male,52,3,2,No
1526,1,3,Male,30,2,2,No
1524,1,3,Male,19,2,2,No
1525,1,2,Male,62,2,2,No
1521,2,5,Male,33,2,2,No
1526,1,2,Male,27,2,1,Yes
1524,1,2,Female,74,3,2,No
1525,1,4,Female,17,3,2,No
1526,2,5,Male,22,2,1,Yes
1526,2,5,Female,60,3,2,No
1523,1,2,Male,23,2,2,No
1525,1,2,Male,33,2,1,Yes
1524,1,3,Male,41,1,1,Yes
1526,1,2,Male,48,1,2,No
1526,1,2,Male,25,3,2,No
1524,1,3,Female,27,2,2,No
1528,1,4,Male,27,2,1,Yes
1523,1,2,Female,24,2,2,No
1528,1,4,Female,32,3,2,No
1529,2,5,Male,39,2,2,No
1526,2,5,Female,32,3,2,No
1529,1,2,Male,54,3,1,Yes
1528,1,3,Female,18,3,2,No
1526,2,5,Male,35,3,2,No
1523,1,2,Male,56,1,2,No
1526,1,2,Female,55,3,2,No
1526,1,2,Female,23,3,2,No
1529,1,4,Female,23,2,2,No
1523,1,2,Female,27,2,2,No
1525,1,2,Male,58,2,2,No
1523,1,2,Male,68,2,2,No
1524,1,2,Female,31,2,1,Yes
1523,1,4,Male,36,2,1,Yes
1528,1,3,Female,50,2,2,No
1523,1,3,Male,48,3,2,No
1523,2,5,Female,47,2,2,No
1526,1,3,Male,29,1,1,Yes
1526,1,2,Female,39,3,2,No
1523,2,5,Male,53,2,2,No
1528,1,4,Female,19,1,2,No
1523,1,3,Male,37,2,2,No
1529,1,2,Male,32,2,2,No
1521,2,5,Female,28,2,2,No
1525,1,4,Male,20,3,2,No
1526,1,2,Female,35,2,2,No
1529,1,2,Female,44,1,2,No
1526,2,5,Female,22,3,2,No
1529,1,2,Male,25,1,2,No
1526,1,2,Female,64,2,2,No
1523,1,4,Female,39,3,2,No
1525,1,4,Female,39,2,2,No
1523,1,2,Female,33,2,2,No
1529,2,5,Male,33,1,2,No
1526,1,3,Female,21,2,2,No
1529,1,2,Male,20,3,2,No
1521,1,3,Female,26,1,2,No
1523,1,2,Female,19,3,2,No
1521,2,5,Female,28,3,2,No
1521,1,3,Male,20,3,2,No
1523,2,5,Female,54,3,2,No
1529,1,2,Female,42,3,2,No
1528,1,4,Female,23,3,2,No
1527,1,4,Male,17,2,1,Yes
1553,1,1,Male,43,2,2,No
1552,1,3,Female,26,2,2,No
1552,1,3,Female,67,2,2,No
1552,1,4,Female,32,3,1,Yes
1552,1,4,Female,40,1,2,No
1553,1,1,Female,50,1,2,No
1551,1,2,Female,40,3,2,No
1552,1,4,Male,29,2,2,No
1553,1,1,Female,60,2,2,No
1552,1,3,Female,34,3,2,No
1553,1,1,Male,66,2,2,No
1553,1,1,Female,18,3,2,No
1553,1,1,Male,34,3,2,No
1553,1,1,Male,55,1,2,No
1552,1,4,Male,41,3,2,No
1552,1,2,Female,20,3,2,No
1552,1,3,Male,35,3,1,Yes
1552,1,2,Female,53,2,2,No
1550,1,2,Male,57,2,2,No
1553,1,1,Male,42,2,1,Yes
1552,1,4,Female,17,3,2,No
1552,1,3,Male,60,2,2,No
1551,1,2,Male,51,3,2,No
1552,1,4,Male,33,3,2,No
1552,1,4,Male,19,1,2,No
1552,1,3,Male,21,1,2,No
1552,1,2,Female,20,2,2,No
1552,1,3,Female,44,3,2,No
1552,1,2,Female,67,1,2,No
1552,1,4,Male,59,2,2,No
1552,1,2,Male,40,3,2,No
1552,2,5,Male,17,2,2,No
1552,2,5,Male,24,1,2,No
1552,1,3,Female,20,3,2,No
1552,1,3,Female,29,2,2,No
1552,1,3,Male,26,2,2,No
1552,1,4,Female,25,2,2,No
1552,1,4,Female,44,3,2,No
1550,1,3,Female,44,3,2,No
1551,1,2,Female,28,2,2,No
1552,2,5,Female,44,NA,2,No
1551,1,4,Male,29,2,1,Yes
1550,2,5,Male,22,2,2,No
1551,1,3,Female,37,1,1,Yes
1552,1,3,Female,67,NA,2,No
1552,1,3,Male,61,3,2,No
1552,1,4,Female,26,1,2,No
1552,1,4,Male,21,2,2,No
1552,1,4,Female,22,3,2,No
1552,1,2,Male,28,1,2,No
1552,1,4,Male,37,3,2,No
1552,1,4,Male,50,1,2,No
1553,1,1,Female,42,2,2,No
1550,1,3,Female,21,2,2,No
1550,2,5,Female,67,2,2,No
1550,2,5,Female,35,2,2,No
1551,1,3,Female,42,3,1,Yes
1552,1,4,Male,65,1,2,No
1552,1,2,Male,64,1,2,No
1552,1,4,Male,59,1,2,No
1552,1,4,Male,20,1,2,No
1551,1,3,Male,53,1,1,Yes
1551,1,4,Male,46,2,2,No
1552,1,2,Male,23,2,2,No
1552,1,4,Female,25,3,2,No
1551,1,4,Female,45,1,2,No
1552,1,3,Female,34,2,2,No
1550,2,5,Male,22,2,2,No
1552,1,2,Male,40,1,2,No
1552,1,4,Female,57,3,2,No
1551,1,3,Female,23,2,2,No
1550,1,2,Female,38,2,2,No
1552,1,3,Male,70,3,2,No
1552,1,2,Female,24,1,2,No
1552,1,4,Female,24,3,2,No
1553,1,1,Female,31,3,2,No
1550,1,3,Male,21,1,2,No
1552,2,5,Female,45,3,2,No
1552,1,2,Male,46,3,2,No
1552,1,3,Male,43,1,2,No
1551,1,3,Male,27,3,1,Yes
1552,1,3,Male,35,NA,2,No
1553,1,1,Male,17,2,1,Yes
1552,1,2,Male,58,3,2,No
1552,1,4,Female,20,2,2,No
1552,1,4,Male,40,2,2,No
1553,1,1,Male,17,3,2,No
1551,1,2,Female,26,3,2,No
1551,1,3,Male,37,2,2,No
1552,2,5,Male,70,1,2,No
1551,1,2,Male,31,1,2,No
1550,1,2,Female,64,3,2,No
1550,1,2,Male,23,1,2,No
1552,1,2,Female,49,3,2,No
1552,1,4,Male,16,1,2,No
1550,2,5,Male,76,NA,2,No
1553,1,1,Male,24,2,2,No
1553,1,1,Female,36,3,2,No
1550,1,3,Male,58,1,2,No
1552,1,3,Male,33,1,2,No
1552,1,2,Male,36,3,2,No
1552,1,4,Female,35,3,2,No
1550,2,5,Male,32,2,2,No
1550,1,2,Male,48,2,2,No
1553,1,1,Male,30,1,2,No
1550,1,3,Male,69,1,2,No
1551,1,3,Male,17,1,1,Yes
1552,2,5,Female,36,3,2,No
1552,2,5,Female,24,2,2,No
1552,1,3,Female,19,3,2,No
1551,1,2,Female,30,3,2,No
1550,1,2,Female,31,2,2,No
1553,1,1,Male,21,1,2,No
1550,1,2,Male,42,3,2,No
1551,1,2,Female,50,2,2,No
1552,1,4,Male,20,2,2,No
1552,1,4,Male,44,2,2,No
1553,1,1,Female,48,1,2,No
1550,2,5,Male,33,2,2,No
1552,1,4,Male,17,3,2,No
1552,1,4,Female,41,2,2,No
1552,2,5,Male,44,1,2,No
1553,1,1,Female,67,3,2,No
1551,1,2,Male,23,1,1,Yes
1550,1,3,Female,40,2,2,No
1552,1,4,Female,31,2,1,Yes
1550,1,3,Male,30,2,1,Yes
1553,1,1,Male,66,3,2,No
1552,1,4,Male,42,2,2,No
1551,1,4,Female,20,3,2,No
1552,1,3,Male,19,1,2,No
1552,1,4,Female,56,3,2,No
1552,1,2,Female,43,2,2,No
1551,1,3,Male,33,1,2,No
1552,1,3,Male,21,1,2,No
1551,1,2,Male,26,2,2,No
1553,1,1,Male,30,2,2,No
1553,1,1,Male,42,2,2,No
1553,1,1,Male,79,1,2,No
1551,1,3,Female,54,1,2,No
1550,1,2,Male,40,3,2,No
1552,1,3,Female,37,3,2,No
1551,1,2,Male,46,1,2,No
1553,1,1,Female,16,3,1,Yes
1553,1,1,Female,16,2,2,No
1552,1,4,Male,19,1,2,No
1552,1,4,Male,72,1,2,No
1553,1,1,Female,26,2,2,No
1553,1,1,Male,54,2,2,No
1553,1,1,Male,29,2,1,Yes
1553,1,1,Male,68,1,2,No
1550,1,3,Female,53,3,2,No
1550,1,2,Male,27,1,2,No
1552,2,5,Male,33,1,2,No
1553,1,1,Male,27,2,2,No
1550,2,5,Female,21,2,2,No
1551,1,4,Male,21,1,1,Yes
1552,1,4,Female,59,1,2,No
1550,2,5,Female,26,2,2,No
1553,1,1,Female,41,2,2,No
1552,1,4,Male,77,3,2,No
1550,2,5,Male,49,1,2,No
1551,1,4,Female,22,2,2,No
1550,2,5,Female,54,1,2,No
1551,1,4,Female,39,2,2,No
1552,1,4,Male,60,3,2,No
1553,1,1,Female,16,3,2,No
1551,1,3,Male,50,2,2,No
1552,1,2,Female,57,2,2,No
1550,1,3,Male,41,2,2,No
1552,1,3,Female,53,3,2,No
1552,1,2,Female,39,3,2,No
1552,1,4,Female,24,3,2,No
1552,1,4,Female,47,3,2,No
1552,1,3,Male,48,2,2,No
1552,1,2,Female,37,2,1,Yes
1552,1,4,Female,61,1,2,No
1552,1,2,Male,20,2,1,Yes
1552,1,2,Male,29,1,2,No
1551,1,4,Male,49,3,2,No
1552,1,3,Female,47,1,2,No
1550,1,2,Female,51,1,2,No
1553,1,1,Female,60,3,2,No
1551,1,4,Female,44,2,2,No
1551,1,3,Female,53,3,2,No
1552,1,4,Female,41,2,2,No
1552,1,4,Female,31,2,2,No
1552,1,4,Male,31,2,2,No
1552,1,2,Female,26,2,2,No
1552,2,5,Female,28,3,2,No
1550,1,3,Male,17,2,2,No
1551,1,4,Male,41,1,2,No
1550,2,5,Female,42,2,2,No
1550,1,3,Female,25,2,2,No
1552,1,4,Male,36,2,2,No
1551,1,4,Female,59,3,2,No
1553,1,1,Female,43,2,2,No
1552,1,2,Male,41,1,2,No
1550,1,3,Female,52,2,2,No
1552,1,4,Female,52,3,2,No
1552,1,2,Male,56,1,2,No
1550,1,2,Female,28,3,2,No
1552,2,5,Female,69,1,2,No
1551,1,4,Male,37,2,1,Yes
1552,1,4,Female,83,3,2,No
1552,1,2,Female,37,2,2,No
1550,1,2,Female,23,2,2,No
1553,1,1,Female,39,2,2,No
1551,1,2,Female,55,2,2,No
1553,1,1,Female,53,2,2,No
1551,1,2,Male,35,1,2,No
1552,1,4,Male,71,1,2,No
1553,1,1,Female,24,2,2,No
1552,2,5,Male,78,NA,2,No
1551,1,3,Female,29,3,2,No
1552,1,4,Female,50,3,2,No
1533,1,3,Female,16,3,2,No
1533,1,3,Male,28,1,1,Yes
1533,1,3,Male,40,3,2,No
1531,1,3,Male,28,2,2,No
1533,1,2,Female,34,3,1,Yes
1535,1,3,Female,16,2,2,No
1535,1,2,Female,34,2,2,No
1531,2,5,Male,36,3,2,No
1535,1,2,Male,16,3,1,Yes
1533,1,2,Male,83,1,2,No
1535,1,2,Male,20,2,2,No
1531,1,4,Male,65,2,2,No
1531,1,3,Female,16,1,2,No
1533,1,3,Male,56,NA,2,No
1532,1,3,Female,30,3,2,No
1535,1,2,Male,27,2,2,No
1533,1,2,Female,28,3,2,No
1535,1,2,Female,53,3,2,No
1535,1,2,Female,21,3,2,No
1535,1,2,Male,19,2,2,No
1532,1,3,Female,29,2,2,No
1531,1,3,Female,16,2,2,No
1533,1,3,Female,19,2,2,No
1531,2,5,Male,24,2,2,No
1533,1,2,Female,38,3,2,No
1535,1,3,Female,37,1,2,No
1535,1,3,Male,17,3,2,No
1533,1,2,Male,27,2,2,No
1533,1,3,Female,57,2,2,No
1533,1,3,Female,18,1,2,No
1535,1,2,Male,44,2,2,No
1533,1,3,Female,40,2,2,No
1531,1,2,Male,55,3,2,No
1535,1,3,Female,28,1,2,No
1535,2,5,Female,31,1,1,Yes
1535,1,2,Female,74,3,2,No
1531,1,2,Female,16,1,2,No
1531,1,3,Male,69,3,2,No
1531,1,4,Female,17,1,2,No
1535,1,2,Male,57,2,2,No
1531,1,4,Male,21,2,2,No
1531,2,5,Female,28,2,2,No
1533,1,2,Male,16,1,2,No
1532,1,3,Female,33,3,1,Yes
1535,1,3,Male,28,1,2,No
1535,1,2,Male,46,3,2,No
1531,1,3,Female,21,3,2,No
1535,1,2,Male,34,2,2,No
1535,1,2,Male,17,2,2,No
1535,2,5,Male,25,3,2,No
1535,1,3,Male,29,2,2,No
1535,1,3,Female,20,3,2,No
1531,2,5,Female,61,3,2,No
1535,1,2,Male,42,2,2,No
1533,1,4,Male,52,3,2,No
1535,1,3,Male,26,3,2,No
1531,1,4,Male,29,3,2,No
1531,2,5,Female,31,2,2,No
1535,1,3,Female,49,1,2,No
1535,1,3,Female,20,3,2,No
1535,1,2,Female,45,2,2,No
1531,1,4,Male,41,2,2,No
1535,1,3,Female,43,1,2,No
1535,1,4,Male,19,2,2,No
1535,1,2,Male,21,2,2,No
1532,1,3,Male,20,3,2,No
1531,1,2,Female,52,2,2,No
1533,1,2,Male,62,2,2,No
1533,1,4,Male,44,3,2,No
1533,1,2,Male,31,1,2,No
1535,1,4,Male,73,2,2,No
1533,1,3,Male,50,1,2,No
1535,1,3,Male,40,2,2,No
1535,1,2,Male,57,2,1,Yes
1533,1,3,Female,47,2,2,No
1533,1,3,Male,48,2,2,No
1531,1,3,Female,52,3,2,No
1531,1,3,Male,30,2,2,No
1531,1,3,Female,60,3,2,No
1533,1,3,Male,16,2,2,No
1535,1,2,Male,56,1,2,No
1535,1,2,Female,52,2,2,No
1535,1,2,Female,51,3,2,No
1531,1,2,Female,87,3,2,No
1535,1,3,Male,30,1,2,No
1535,1,3,Male,19,1,2,No
1532,1,4,Female,65,1,2,No
1533,1,2,Male,45,1,1,Yes
1531,1,4,Female,29,2,2,No
1535,1,3,Female,64,3,2,No
1535,1,4,Male,68,1,2,No
1535,1,3,Male,50,2,1,Yes
1533,1,3,Female,71,1,2,No
1533,1,2,Female,41,2,2,No
1535,1,4,Female,73,2,2,No
1533,1,3,Male,34,1,2,No
1532,1,4,Male,22,1,2,No
1535,1,3,Male,43,1,2,No
1533,1,3,Male,48,2,2,No
1533,1,3,Male,16,2,2,No
1535,1,3,Female,22,2,2,No
1533,1,3,Male,44,2,2,No
1535,2,5,Female,45,1,1,Yes
1531,1,3,Male,47,1,2,No
1535,1,2,Male,18,2,2,No
1535,1,4,Female,72,3,2,No
1532,1,4,Female,39,2,2,No
1535,1,2,Male,21,3,2,No
1533,1,2,Male,42,2,2,No
1535,1,4,Female,33,1,2,No
1535,1,3,Female,43,2,2,No
1535,1,3,Male,32,1,2,No
1535,1,3,Female,23,2,2,No
1535,1,2,Male,43,1,2,No
1535,1,2,Female,75,3,2,No
1535,1,2,Male,49,3,1,Yes
1535,1,2,Male,24,1,2,No
1535,1,2,Male,44,2,2,No
1535,1,3,Male,29,1,2,No
1531,1,4,Male,16,1,2,No
1535,1,3,Female,42,2,2,No
1535,1,3,Male,18,2,1,Yes
1535,1,3,Female,33,3,2,No
1531,1,3,Male,40,2,2,No
1535,1,2,Male,19,1,2,No
1531,1,4,Male,41,3,1,Yes
1535,1,4,Female,17,3,2,No
1535,1,3,Male,39,1,2,No
1535,1,3,Male,49,2,2,No
1533,1,4,Female,56,2,2,No
1533,1,2,Male,29,3,2,No
1535,1,2,Female,42,2,2,No
1535,1,3,Female,68,2,2,No
1535,1,3,Female,23,2,2,No
1535,1,2,Female,67,3,2,No
1535,1,2,Male,48,3,2,No
1531,1,4,Female,21,3,2,No
1535,1,4,Female,78,3,2,No
1531,1,4,Female,36,2,2,No
1533,1,2,Female,30,3,2,No
1533,1,3,Female,26,1,2,No
1535,1,2,Female,31,3,2,No
1531,1,2,Female,44,2,2,No
1535,1,2,Female,36,1,2,No
1532,1,3,Female,19,2,1,Yes
1532,1,4,Male,38,1,2,No
1531,1,3,Male,20,2,2,No
1531,1,2,Male,18,2,2,No
1535,1,2,Female,19,3,2,No
1535,1,3,Female,66,3,2,No
1533,1,3,Male,48,2,2,No
1535,1,2,Female,18,2,2,No
1535,1,4,Male,58,2,2,No
1531,2,5,Male,63,2,2,No
1533,1,2,Male,63,3,2,No
1535,1,3,Female,61,1,2,No
1531,1,4,Male,58,NA,2,No
1535,2,5,Female,20,2,2,No
1531,1,4,Female,33,1,2,No
1531,1,4,Male,17,1,2,No
1533,1,2,Male,44,3,2,No
1533,1,3,Female,32,2,2,No
1535,1,3,Male,56,2,2,No
1531,2,5,Female,51,3,2,No
1535,1,3,Male,70,1,2,No
1535,1,2,Male,77,1,2,No
1531,2,5,Male,26,2,2,No
1535,1,2,Female,28,2,2,No
1532,1,4,Female,16,3,2,No
1535,1,3,Male,41,2,2,No
1533,1,2,Female,28,3,2,No
1535,1,3,Male,17,1,2,No
1533,1,3,Female,51,1,1,Yes
1533,1,3,Male,40,2,1,Yes
1532,1,3,Female,64,1,2,No
1535,1,2,Female,44,2,2,No
1533,1,2,Female,63,3,2,No
1535,1,2,Female,38,2,2,No
1535,1,2,Male,41,2,2,No
1531,1,4,Female,31,2,2,No
1533,1,2,Female,42,3,2,No
1531,1,4,Female,53,2,2,No
1535,1,3,Male,37,1,2,No
1533,1,3,Female,42,2,2,No
1531,1,3,Male,57,3,2,No
1535,1,2,Female,25,2,2,No
1533,1,3,Female,45,3,2,No
1531,1,3,Male,60,3,1,Yes
1531,2,5,Female,40,2,2,No
1535,1,3,Male,20,1,2,No
1531,1,4,Female,44,2,2,No
1533,1,4,Male,22,3,2,No
1535,1,2,Male,32,2,2,No
1531,1,3,Female,35,1,2,No
1533,1,2,Male,27,1,2,No
1535,1,3,Female,59,3,2,No
1533,1,3,Male,24,1,2,No
1535,1,2,Male,28,1,2,No
1535,1,2,Male,44,3,2,No
1531,1,4,Female,31,2,2,No
1533,1,2,Male,20,3,2,No
1533,1,3,Male,35,3,2,No
1531,1,4,Male,37,1,2,No
1531,1,3,Female,48,3,2,No
1531,1,3,Female,65,2,2,No
1531,2,5,Male,35,1,2,No
1532,1,3,Male,18,1,2,No
1535,1,3,Female,36,2,2,No
1531,1,4,Female,35,2,2,No
1531,1,4,Male,48,2,2,No
1533,1,2,Female,22,2,2,No
1535,1,3,Female,17,3,1,Yes
1535,1,2,Female,46,2,2,No
1533,1,4,Female,25,3,1,Yes
1535,1,4,Female,16,3,2,No
1531,1,4,Female,45,2,2,No
1531,1,2,Female,19,2,2,No
1535,1,2,Male,21,2,2,No
1531,1,3,Female,41,3,2,No
1535,2,5,Male,30,3,2,No
1533,1,4,Male,55,3,2,No
1535,2,5,Female,52,1,2,No
1531,1,4,Female,17,3,2,No
1535,1,2,Female,19,2,1,Yes
1535,1,4,Male,29,1,1,Yes
1531,1,4,Male,17,2,2,No
1531,1,4,Male,70,3,2,No
1531,1,3,Female,44,1,2,No
1532,1,3,Female,46,2,2,No
1535,1,3,Male,64,2,2,No
1531,1,4,Female,29,2,2,No
